                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1138,                 1.1919,                 1.2589,                0.79263,                0.49891,                0.63054,                0.40281,                 1.2671,                 1.3709,                  1.363,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.138,                 1.1749,                 1.2739,                0.69855,                0.59054,                0.66476,                0.44703,                 1.1915,                 1.2454,                 1.3244,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1087,                 1.1277,                 1.2494,                0.72762,                0.58898,                0.64759,                0.40744,                  1.246,                 1.3968,                  1.344,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0985,                 1.1418,                 1.2547,                0.64853,                0.58745,                0.63164,                 0.4101,                 1.2409,                 1.2671,                 1.3585,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0787,                 1.1364,                  1.247,                0.68028,                0.61466,                0.66718,                0.44769,                  1.166,                 1.2416,                 1.3166,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0788,                 1.1457,                 1.2458,                0.75019,                0.60002,                0.69322,                0.43627,                 1.2049,                 1.2486,                 1.3473,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0899,                 1.1236,                 1.2418,                0.71488,                0.60789,                0.68846,                0.45607,                 1.2164,                 1.2088,                 1.3217,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0945,                 1.1221,                 1.2412,                0.68106,                0.65636,                0.68989,                0.46441,                 1.1973,                 1.2185,                 1.3005,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0646,                 1.1141,                 1.2321,                0.68344,                0.55732,                0.65326,                0.41329,                 1.2294,                 1.3014,                 1.3337,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0722,                 1.0939,                 1.2382,                0.69024,                0.57215,                0.65404,                0.41957,                 1.2492,                 1.2986,                   1.36,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0791,                 1.0974,                 1.2347,                0.71602,                0.58535,                0.65888,                0.44309,                 1.1441,                  1.238,                 1.2948,             0.00095736,             0.00095736,             0.00095736
